ITComponentId,__v,_id,anomalyTimestamp,metric,feedback,infrastructure,issue,rootCauseAnomalyTimestamp,rootCauseAnomalyType,rootCauseFeedback,rootCauseSignificant,significant,updatedAt,count_affectedITComponentIds,count_anomalies,count_correlatedITComponentIds,count_masterTopologyComponents,duration,issue_id,is_positive_feedback,component_type,metric_no_subject,absolute_delta,scaled_absolute_delta
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61b0b4459180fc161a87a386,1638963290000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b098aaaf0b5f65d1de0474,0,,,No,No,"December 8, 2021 1:33 PM (GMT)",1,2,4,6192,0,61b098aaaf0b5f65d1de0474,No,service,docker#memory#rss#total,8414.591274319779,0.005543629075354817
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61b0b45a9180fc161a87a60f,1638901910000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61afa8eaaf0b5f1fcfde045c,0,,,No,No,"December 8, 2021 1:34 PM (GMT)",1,4,4,6192,240,61afa8eaaf0b5f1fcfde045c,No,service,docker#memory#usage#pct,0.0,0
linux60fec22cda00c500125f4311,0,61b0d4709180fc161a8ad8fd,1638975290000,system#diskio#iostat#busy-sda,Critical (it harms our infrastructure/business),6040a96cdcc614001153fc55,61b0c7a3af0b5f2514de0487,1638975270000,docker#cpu#kernel#pct-no_subject,,Yes,Yes,"December 8, 2021 3:51 PM (GMT)",5,26,30,6171,250,61b0c7a3af0b5f2514de0487,Yes,host,system#diskio#iostat#busy,0.0,0
apachegaia_scripts,0,61af5de19180fc161a67d8d2,1638881630000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61af59b0af0b5f78aade0436,1638881630000,docker#memory#rss#total-no_subject,,No,No,"December 7, 2021 1:13 PM (GMT)",1,1,4,6248,0,61af59b0af0b5f78aade0436,No,service,docker#memory#rss#total,79225.74222222221,0.130185129155989
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61af5eaa9180fc161a67ed0c,1638881210000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61af581daf0b5f111dde042e,0,,,No,No,"December 7, 2021 1:16 PM (GMT)",1,2,4,6248,0,61af581daf0b5f111dde042e,No,service,docker#memory#rss#total,5130.411991061662,0.008430382965758513
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61b0b4459180fc161a87a386,1638963290000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b098aaaf0b5f65d1de0474,0,,,No,No,"December 8, 2021 1:33 PM (GMT)",1,2,4,6192,0,61b098aaaf0b5f65d1de0474,No,service,docker#memory#rss#total,8414.591274319779,0.013827003965068717
docker2838c0afcc7620ff,0,61bb2e9f9180fc161a7f8615,1639018850000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b171bcaf0b5f0ad5de0537,0,,,No,No,"December 16, 2021 12:18 PM (GMT)",1,2,4,6211,0,61b171bcaf0b5f0ad5de0537,No,service,docker#memory#rss#total,608562.1509603697,1
consul_consul-server,0,61bb2eb39180fc161a7f8805,1639356040000,docker#diskio#summary#service_time-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a01af0b5fbaedde09f7,0,,,No,No,"December 16, 2021 12:19 PM (GMT)",1,9,4,6209,750,61b69a01af0b5fbaedde09f7,No,service,docker#diskio#summary#service_time,641142657324.0898,0.9999999999999999
packetaipacketai_packetai-agent,0,61bb2f109180fc161a7f92ed,1639356790000,docker#diskio#summary#service_time-no_subject,Info (good to know about),6040a96cdcc614001153fc55,61b69a16af0b5f630ade0a1b,0,,,No,Yes,"December 16, 2021 12:20 PM (GMT)",1,5,4,6167,0,61b69a16af0b5f630ade0a1b,Yes,service,docker#diskio#summary#service_time,3656649085.16967,0
mysql_router,0,61bb2f389180fc161a7f96c8,1639356790000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a18af0b5f0ee3de0a27,0,,,No,No,"December 16, 2021 12:21 PM (GMT)",1,5,4,6167,0,61b69a18af0b5f0ee3de0a27,No,service,docker#memory#usage#pct,0.0001227965801125,0.011924058212283642
rabbitmqqueue_rabbitmq,0,61bb2f919180fc161a7fa00c,1639356850000,rabbitmq#exchange#messages#publish_out#count-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a1baf0b5fa315de0a35,0,,,No,No,"December 16, 2021 12:22 PM (GMT)",1,4,4,6167,0,61b69a1baf0b5fa315de0a35,No,service,rabbitmq#exchange#messages#publish_out#count,0.0,0
docker983f275612ba5797,0,61bb30119180fc161a7fad8c,1639356910000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a47af0b5f841cde0a3b,0,,,No,No,"December 16, 2021 12:24 PM (GMT)",2,2,4,6167,60,61b69a47af0b5f841cde0a3b,No,service,docker#memory#usage#total,56890.63620345411,0.01353217896128255
docker983f275612ba5797,0,61bb302f9180fc161a7fb132,1639357210000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69b74af0b5f27eede0a44,0,,,No,No,"December 16, 2021 12:25 PM (GMT)",1,2,4,6167,300,61b69b74af0b5f27eede0a44,No,service,docker#memory#usage#total,744229.7348639581,0.1770247378579233
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61bb303d9180fc161a7fb2e5,1639357030000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69ad2af0b5f5ae9de0a40,0,,,No,No,"December 16, 2021 12:25 PM (GMT)",1,2,4,6167,0,61b69ad2af0b5f5ae9de0a40,No,service,docker#memory#rss#total,49859.61739294275,0.08193019778548415
apachegaia_worker,0,61bb30909180fc161a7fbad3,1639404190000,docker#memory#rss#total-no_subject,Info (good to know about),6040a96cdcc614001153fc55,61b752eeaf0b5f3354de0ca6,0,,,No,Yes,"December 16, 2021 12:26 PM (GMT)",1,1,4,6167,0,61b752eeaf0b5f3354de0ca6,Yes,service,docker#memory#rss#total,165956.26666666672,0.2727022480855435
koios_koios-api,0,61bb30cc9180fc161a7fc09f,1639409470000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b76790af0b5f688dde0cc0,0,,,No,No,"December 16, 2021 12:27 PM (GMT)",1,2,4,6167,0,61b76790af0b5f688dde0cc0,No,service,docker#memory#usage#pct,2.4534479395e-06,0.00023823999027174336
apachegaia_scripts,0,61bb391b9180fc161a8091ef,1639500130000,docker#memory#usage#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b8c9c6af0b5fbb44de0f48,0,,,No,No,"December 16, 2021 1:03 PM (GMT)",1,1,4,6167,0,61b8c9c6af0b5fbb44de0f48,No,service,docker#memory#usage#total,49051.87555555554,0.011667627622066164
