index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-no_subject,0.01462,0.38745,0.15498,0.00158,9e-05,0.09686,0.0861,0.2583
docker#network#in#packets-no_subject,0.16581,0.82904,0,0.00496,0.00018,0,0,0
docker#network#out#bytes-no_subject,0.09503,0.28509,0.19006,0.00213,6e-05,0.14254,0.09503,0.19006
docker#network#out#packets-no_subject,0.15312,0.84214,0,0.00456,0.00018,0,0,0
