index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-no_subject,0.0173,0.28667,0.07212,0.14334,0.00281,0.06908,0.11467,0.29402
docker#network#in#packets-no_subject,0.02785,0.32256,0.08718,0.04118,0.00473,0.06366,0.13256,0.32028
docker#network#out#bytes-no_subject,0.01261,0.51563,0.01834,0.02739,0.00376,0.01719,0.05445,0.35063
docker#network#out#packets-no_subject,0.0232,0.56194,0.04191,0.07702,0.0065,0.039,0.10995,0.14049
