index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#out#packets-no_subject,0.00398,0.8449,0.09565,0.01045,0.00882,0.03621,0,0
docker#network#in#bytes-no_subject,0.00603,0.65289,0.03944,0.01139,0.00633,0.02511,0.04897,0.20986
docker#network#in#packets-no_subject,0.00187,0.82138,0.09857,0.01484,0.01129,0.05206,0,0
docker#network#out#bytes-no_subject,0.00243,0.88301,0.05151,0.01239,0.00832,0.04234,0,0
