index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#out#bytes-no_subject,0.02232,0.37944,0.07297,0.00443,0.00125,0.03912,0.13552,0.34495
docker#network#out#packets-no_subject,0,0.98763,0,0.0092,0.00317,0,0,0
