index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-no_subject,0.00639,0.59783,0.02022,0.01433,0.00151,0.01245,0.02536,0.32191
docker#network#in#packets-no_subject,0.0028,0.44916,0.22458,0.01137,0.00075,0.14972,0.0119,0.14972
docker#network#out#bytes-no_subject,0.00768,0.38837,0.02025,0.00664,0.00168,0.01327,0.02811,0.53401
docker#network#out#packets-no_subject,0.00313,0.4862,0.16207,0.01074,0.00084,0.16207,0.01288,0.16207
