EventTemplate,Occurrences
<*> <*> (10.0.11.208:58162 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,6
closing AMQP connection <*> (10.0.11.197:45384 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.197:45388 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.197:45388 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:58162 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,6
accepting AMQP connection <*> (10.0.11.208:58166 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.208:58166 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.197:45388 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
closing AMQP connection <*> (10.0.11.208:58166 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.197:45394 -> 10.0.11.23:5672) ,14
accepting AMQP connection <*> (10.0.11.208:58172 -> 10.0.11.23:5672) ,12
<*> <*> (10.0.11.197:45394 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
<*> <*> (10.0.11.208:58172 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.208:58172 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.208:58230 -> 10.0.11.23:5672) ,17
<*> <*> (10.0.11.208:58230 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,17
closing AMQP connection <*> (10.0.11.197:45394 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.197:45982 -> 10.0.11.23:5672) ,6
<*> <*> (10.0.11.197:45982 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,6
closing AMQP connection <*> (10.0.11.197:45982 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,6
accepting AMQP connection <*> (10.0.11.197:46236 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.197:46236 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.208:58230 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,17
accepting AMQP connection <*> (10.0.11.208:59164 -> 10.0.11.23:5672) ,17
<*> <*> (10.0.11.208:59164 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,17
closing AMQP connection <*> (10.0.11.197:46236 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.197:46420 -> 10.0.11.23:5672) ,12
