index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#diskio#summary#ops-no_subject,0,0.07813,0.25392,0.05643,0.00421,0.06771,0.03174,0.50785
docker#diskio#summary#rate-no_subject,0,0.29343,0.3081,0.14671,0.02557,0.05502,0.17117,0
