index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#diskio#summary#ops-no_subject,0.01479,0.06629,0.15235,0.10338,0.00391,0.14718,0.20195,0.31014
docker#diskio#summary#rate-no_subject,0.01715,0.15576,0.29051,0.0467,0.00472,0.23229,0.18762,0.06526
