Verb,Endpoint,i,Swagger plan,Description,Needs precision
GET,infrastructure/:infrastructureId/kubernetes/topology/namespace/:namepsace,"infrastructure, kubernetes",group 2,Get Kubernetes topology filtered by namespace from DGraph,No
GET,/infrastructure/:infrastructureId/kubernetes/topology/deployment/:deployment,"infrastructure, kubernetes",group 2,Get Kubernetes topology filtered by deployments from DGraph,No
GET,/infrastructure/:infrastructureId/kubernetes/topology,"infrastructure, kubernetes",group 2,Get Kubernetes topology from DGraph,No
GET,/infrastructure/:infrastructureId/integration/default,"infrastructure, integration",group 2,"Get the list of default integration (for the default integration page on Minima) from database. If there is no saved default integrations, returns default values.",No
POST,/infrastructure/:infrastructureId/integration/default/:integration,"infrastructure, integration",group 2,"Set default integration options for a given integration name and for an infrastructure in database ",No
GET,/infrastructure/:infrastructureId/integration/:agentId,"infrastructure, integration",group 2,"Returns the list of all agent/host integrations and the flag integrationsStarted (true if the agent integration activation message was sent at least once)  ",Yes
GET,/infrastructure/:infrastructureId/integration/:ITComponentSubType/:ITComponentID,"infrastructure, integration",group 2,"Returns the list of KPI stored in database for a ITComponent, and returns the default or globalized value (for containers and others KPI) if the KPI is not defined in database, depending of if the global value is enabled.",No
POST,/infrastructure/:infrastructureId/integration/:ITComponentSubType/:ITComponentID,"infrastructure, integration",group 2,Save the list of KPI for a ITComponents and update related KPIs for globalized values if enabled.,No
POST,/infrastructure/:infrastructureId/integration/:agentId/errors,"infrastructure, integration",group 2,Receives a list of integration errors and insert them to database,No
POST,/infrastructure/:infrastructureId/integration/:agentId,"infrastructure, integration",group 2,"Receives a list of integrations, delete all integrations for a given agentID and insert the received ones instead to database. ",No
GET,/infrastructure/:infrastructureId/installer/kube-agent/configuration,"infrastructure, installer",group 2,"Returns a Kubernetes configuration in YAML format to install kube agent, generated for the infrastructure ",No
GET,/infrastructure/:infrastructureId/installer/agent/:filename,"infrastructure, installer",group 2,Returns a file (using filename as URL parameter) from S3 bucket for installation assets (scripts),No
GET,/infrastructure/:infrastructureId,infrastructure,group 2,"Returns the list of agents in database and the brokers for a given infra ",No
GET,/infrastructure/,infrastructure,group 2,Returns the list of infrastructures IDs and the Kafka brokers for each infra,No
DELETE,/infrastructure/:infrastructureId/kafkaTopics,infrastructure,group 2,"Deletes kafka topics, consumers, and Elasticsearch indexes for a whole infrastructure",No
GET,/infrastructure/:infrastructureId/token,infrastructure,group 2,"Returns a unique token for the infrastructure from the Mongo database. If the token has never been generated before, generate a new one, save it in database and returns it. Token is used for the agent in order to use Becky's secured routes.",No
GET,/infrastructure/:infrastructureId/roles,infrastructure,group 2,Returns the list of roles for an infrastructure using Accounts,No
GET,/infrastructure/:infrastructureId/users,infrastructure,group 2,Returns the list of users for an infrastructure using Accounts,No
PUT,/infrastructure/:infrastructureId/alerting,"alerting, infrastructure",group 1,"Register a new alerting rule on MongoDB ",No
POST,/infrastructure/:infrastructureId/alerting,"alerting, infrastructure",group 1,"Updates a already existing alerting rule on MongoDB, using body for getting arguments",No
GET,/infrastructure/:infrastructureId/alerting,"alerting, infrastructure",group 1,Returns the list of alerting rules on MongoDB for the given infrastructure,No
DELETE,/infrastructure/:infrastructureId/alerting,"alerting, infrastructure",group 1,Deletes an alerting rule from MongoDB with the given ID (in the body),No
GET,/infrastructure/:infrastructureId/AWS,"AWS, infrastructure",group 2,Returns the list of AWS integrations enabled and disabled for an infrastructure from MongoDB database,No
POST,/nfrastructure/:infrastructureId/AWS,"AWS, infrastructure",group 2,Enable and disable AWS integrations on the AWSservice depending of their status and update the AWS integrations in the MongoDB database,No
GET,/infrastructure/:infrastructureId/AWS/downloadLambdaFunction,"AWS, infrastructure",group 2,Generates and returns an AWS lambda function,No
