data length,10 minutes,30 minutes,60 minutes,6 hours,12 hours,1 day,2 days
2880 points (2 days),0.015583038330078125,0.009724140167236328,0.014322996139526367,0.010808944702148438,0.011513948440551758,0.010040760040283203,0.006105184555053711
8640 points (6 days),0.07302021980285645,0.05179309844970703,0.08159208297729492,0.06480288505554199,0.08544492721557617,0.06804394721984863,0.0743410587310791
14400 points (10 days),0.1272740364074707,0.13931989669799805,0.17598676681518555,0.16023492813110352,0.1807243824005127,0.18391990661621094,0.21225714683532715
20160 points (14 days),0.2559080123901367,0.2727501392364502,0.3225438594818115,0.3130970001220703,0.35141777992248535,0.3572847843170166,0.43311023712158203
25920 points (18 days),0.42034006118774414,0.44405508041381836,0.5097830295562744,0.49253296852111816,0.569058895111084,0.594282865524292,0.7143750190734863
31680 points (22 days),0.6274280548095703,0.7090318202972412,0.7349472045898438,0.7415139675140381,0.8116397857666016,0.9058361053466797,1.0718181133270264
37440 points (26 days),0.8931710720062256,1.0381758213043213,1.0641541481018066,1.056335210800171,1.1119942665100098,1.3814120292663574,1.5242249965667725
43200 points (30 days),1.2069799900054932,1.4217967987060547,1.396376132965088,1.4818663597106934,1.5376091003417969,1.992877721786499,2.1769402027130127
