Company,Aggregation 15mn,Aggregation 30mn,Aggregation 1h,Aggregation 2h
OR condition,"OR Anomalies: 189
OR Threshold = 1","OR Anomalies: 89
OR Threshold = 0.85","OR Anomalies: 35
OR Threshold = 0.85","OR Anomalies: 24
OR Threshold = 0.5"
AND condition,"AND Anomalies: 44
AND Threshold = 0.5","AND Anomalies: 15
AND Threshold = 0.5","AND Anomalies: 8
AND Threshold = 0.1","AND Anomalies: 1
AND Threshold = 0.1"
