Methods,Algorithm,Class API
autoencoder,Outlier detection using replicator neural networks,:class:algo.autoencoder.AUTOENCODER
dagmm,"Deep autoencoding gaussian mixture 
model for unsupervised anomaly detection",:class:algo.dagmm.DAGMM
