Methods,Algorithm,Class API
lstmad,Long short term memory networks for anomaly detection in time series,:class:algo.lstm_ad.LSTMAD
lstmencdec,LSTM-based encoder-decoder for multi-sensor anomaly detection,:class:algo.lstm_enc_dec_axl.LSTMED
luminol,Linkedin's luminol,:class:algo.luminol.LUMINOL
