,date,significance_score,duration,absolute_delta,relative_delta
0,06/22/2021 13:11:50,13,547.8,0.12,28.24%
1,06/14/2021 16:39:20,11,28,0.00,87.46%
2,06/21/2021 09:00:40,11,535.8,0.08,25.55%
3,06/15/2021 09:37:20,11,238.2,0.13,220036.74%
4,06/15/2021 13:36:20,11,412.8,0.08,154.57%
5,06/15/2021 03:59:20,10,337.8,0.03,11893.57%
6,06/16/2021 13:38:30,10,102,0.24,140.74%
