,date,significance_score,duration,absolute_delta,relative_delta
0,06/14/2021 16:39:20,13,28,0.00,87.46
1,06/15/2021 09:37:20,12,238.2,0.13,220036.74
2,06/15/2021 13:36:20,12,412.8,0.08,154.57
3,06/22/2021 13:11:50,11,547.8,0.12,28.24
4,06/21/2021 03:59:40,11,301.2,0.17,57.78
5,06/16/2021 03:59:20,10,577.8,0.06,53.83
6,06/14/2021 17:45:20,10,1,0.00,32.43
7,06/15/2021 03:59:20,10,337.8,0.03,11893.57
8,06/24/2021 10:29:50,10,5,0.03,5.02
