startDate,componentID,suggested label,duration,metric,SIRE_metrics,Comment,cpu_min_norm_pct,cpu_max_norm_pct,memory_min_pct,memory_max_pct,disk_time_min_s,disk_time_max_s,count_anomalies,count_affectedITComponentIds,start,issue_id,cluster,description,count_anomaly_regions,max_relevance_score,avg_relevance_score
"February 2, 2022 11:24 AM (GMT)",linux61c32232a137b10130daf2e1,info,20,system#cpu#system#norm#pct-no_subject,,,,,,,,,2,2,1643801070000,61fa6a41b4c426be56ad212a,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 8, 2022 5:29 PM (GMT)",linux61c1fcc7946cf90125d075e8,info,20,system#cpu#system#norm#pct-no_subject,,,,,,,,,2,1,1644341340000,6202a8c6b4c426ddf9ad6f00,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 14, 2022 5:33 PM (GMT)",linux604b83a14c58ea0011d6220f,info,0,system#cpu#system#norm#pct-no_subject,,,,,,,,,4,1,1644860000000,620a92a547b6b6713bdc369f,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 15, 2022 11:17 AM (GMT)",linux61c1cf78946cf90125d0753e,info,0,system#cpu#total#norm#pct-no_subject,,,,,,,,,4,1,1644923850000,620b8c1f47b6b6fcf8dc452b,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 7, 2022 2:01 PM (GMT)",linux60fec238da00c500125f4314,info,0,system#cpu#total#norm#pct-no_subject,,,,,,,,,4,1,1644242480000,6201268bb4c426c4a4ad53ad,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 7, 2022 2:32 PM (GMT)",linux61c20ad4946cf90125d07642,info,0,system#cpu#total#norm#pct-no_subject,,,,,,,,,4,1,1644244370000,62012ddab4c426475cad5447,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 8, 2022 4:32 PM (GMT)",nginxappsmith_appsmith-nginx,info,10,system#cpu#user#norm#pct-no_subject,,,,,,,,,3,2,1644337960000,62029b96b4c426ac10ad6dc7,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 2, 2022 11:22 AM (GMT)",linux608ac1c48e4afc0040b43d19,info,60,system#diskio#iostat#busy-sda1,,,,,,,,,4,1,1643800940000,61fa69cdb4c4260f18ad2120,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 16, 2022 2:36 PM (GMT)",linux61c32232a137b10130daf2e1,info,0,system#diskio#iostat#busy-sda1,,,,,,,,,2,1,1645022190000,620d0c3447b6b618e3dc62d1,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 16, 2022 9:17 PM (GMT)",linux609bdef1b677860011c6e30d,info,0,system#diskio#iostat#busy-sda1,,,,,,,,,2,1,1645046240000,620d6a3f47b6b631f9dc6b43,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 2, 2022 11:22 AM (GMT)",linux604b83a14c58ea0011d6220f,info,0,system#diskio#iostat#busy-sda1,,,,,,,,,2,1,1643800940000,61fa69cfb4c4260b52ad2124,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 9, 2022 6:18 PM (GMT)",linux609bde4db677860011c6e30b,info,60,system#diskio#iostat#busy-vda1,,,,,,,,,4,1,1644430690000,6204043947b6b61e87dbf6f0,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 11, 2022 7:32 AM (GMT)",linux609bde4db677860011c6e30b,info,0,system#diskio#iostat#busy-vda1,,,,,,,,,3,1,1644564730000,62060fd247b6b652eddc0169,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"January 10, 2022 4:58 PM (GMT)",linux60b8d8abaeb6f802698917b1,info,0,system#memory#actual#used#pct,,,,,,,,,1,1,1641833910000,61dc6606f2b916284fd0e743,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 10, 2022 6:50 AM (GMT)",linux609bdf19b677860011c6e30e,info,60,system#memory#actual#used#pct-no_subject,,,,,,,,,2,1,1644475810000,6204b60147b6b6c9bfdbf70a,0,"low affected components rate, low anomaly rate, short duration",0,0,0
