Name,Doc,Doc status,KT Recipients,Actions,KT sessions
Drain,Doc on masking https://www.notion.so/3e2efeae8f7242ebb4066916ac93e48e?pvs=21,DONE,"Marwen Sallem, dengke li",Recipients to review doc,SP62 2H Feb
IBM Drain/ Multi Drain,TBD - Doc on POC results https://www.notion.so/940dc435bf7c4db897b4538ab6c9611b?pvs=21,DONE,"Marwen Sallem, dengke li",Recipients to review doc,SP62 2H Feb
Template extraction scoring part on ML Testing,Methodology doc https://www.notion.so/71d36e07296e401eaf8ed2f5e6894524?pvs=21; TBD - Doc on scoring with ML Testing https://www.notion.so/571bee379c7f4e4d9b5c253b0e8d5078?pvs=21,DONE,"dengke li, karim alami",Recipients to review doc,SP62 2H Feb
Word2Vec,Doc https://www.notion.so/278cc8f0c7524574a9b5a69e4ebbd45b?pvs=21,DONE,"Marwen Sallem, dengke li",Recipients to review doc,SP63 1H March
DeepLog,"Doc on deeplog https://www.notion.so/a5bde3c588c04d7fadd36e711ac33e3b?pvs=21 ",DONE,"Marwen Sallem, dengke li",Recipients to review doc,SP63 1H March
