Name,Doc,Doc status,KT Recipients,KT sessions,Actions,comment
LCO,"https://www.notion.so/1195a61bdbc04843955b7b7c224707d3?pvs=21
https://github.com/PacketAI/code/pull/473",DONE,"Yuchao QIAN, Lucas Deboute",SP63,NoAction,"agents are fetched in becky, in the future should  separate agent by classic and k8s because them do not follow the same action"
k8srouter,https://github.com/PacketAI/code/blob/7e2137e1501047432f1cf60747fa602d4eb85a30/microservices/cmd/k8srouter/README.md,DONE,Yuchao QIAN,SP63,NoAction,
k8s agent,,DONE,Yuchao QIAN,,,
k8s topology route,https://github.com/PacketAI/code/pull/525,DONE,Yuchao QIAN,,,
lambda AWS,https://github.com/PacketAI/code/tree/dev/ecs/lambda/cloudwatch,DONE,Yuchao QIAN,,,
logstah config generator,,DONE,"dengke li, karim alami, Marwen Sallem",,,
,,,,,,
,,,,,,
,,,,,,
