Configuration,'standard' profile,'reward_low_FP_rate' profile,'reward_low_FN_rate' profile,Comment
skyline,38.68,36.64,49.92,
skyline2,33.35,33.26,45.62,
skyline3,38.68,37.4,49.63,
skyline4,41.59,39.14,53.02,No histogram_bin detector
skyline5,47.67,45.21,61.09,"Replaced histogram_bin detector by Hank detector and used weighted Skyline. Weights are found as the best ones to optimize the f2 score. "
skyline6,55.67,53.26,67.57,"Weighted Skyline was used. Weights are found as the best ones to optimize the f2 score. "
,,,,
