Configuration,'standard' profile,'reward_low_FP_rate' profile,'reward_low_FN_rate' profile
skyline,38.21,35.85,52.77
walter,48.04,44.00,60.99
overall,47.98,43.16,60.43
Best Pick,45.99,42.25,57.96
,,,
