g,Precision,Recall,F1 score
3,9.593,100,17.506592574343
4,15.057,100,26.173114195573
5,30.573,99.976,46.826344866678
6,83.116,99.952,90.759831669107
7,91.691,98.457,94.953623356543
8,88.515,59.658,71.276519608836
9,90.155,58.958,71.293025960178
10,91.296,58.428,71.254343832652
,,,
