g,Precision,Recall,F1 score
3,6.288,63.058,11.435661869466
4,11.607,63.058,19.605282421483
5,25.188,62.937,35.977467370213
6,77.126,62.768,69.210184396758
7,86.405,59.923,70.76768376524
8,89.236,57.777,70.1405776632
9,91.287,55.582,69.094417937073
10,93.368,51.941,66.749166094323
,,,
