g,Precision,Recall,F1 score
3,10.907,99.759,19.664059656986
4,17.657,99.494,29.991473534157
5,35.824,99.301,52.652862519889
6,86.842,98.191,92.168454513519
7,93.712,96.311,94.993726359441
8,95.465,92.886,94.157843494327
9,96.694,78.298,86.529062037122
10,97.685,65.131,78.153519740075
,,,
