g,Precision,Recall,F1 score
2,6.755,65.215,12.241970960122
3,12.4,64.507,20.801404293497
4,32.897,61.182,42.787535029071
5,91.127,59.597,72.064114792601
6,92.483,56.996,70.527111741449
7,92.651,54.718,68.802494663057
8,93.685,52.517,67.304895213472
9,94.093,51.485,66.55371148113
,,,
