index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-no_subject,0.02295,0.30332,0.09461,0.02946,0.0188,0.03556,0.21404,0.28126
docker#network#in#packets-no_subject,0.01368,0.78014,0.11659,0.0284,0.02257,0.03861,0,0
docker#network#out#bytes-no_subject,0.0085,0.83787,0.09073,0.02165,0.01624,0.02501,0,0
docker#network#out#packets-no_subject,0.01345,0.74089,0.09563,0.03539,0.02957,0.03254,0.05253,0
