index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-6982fa8345bdd6ac,0.01536,0.2569,0.1101,0.20105,0.0083,0.1101,0.09839,0.19981
docker#network#in#bytes-no_subject,0.03442,0.22174,0.10348,0.18261,0.0074,0.10014,0.15267,0.19755
docker#network#in#packets-6982fa8345bdd6ac,0.01967,0.32229,0.12611,0.07947,0.01042,0.10946,0.0951,0.23748
docker#network#in#packets-no_subject,0.0437,0.18488,0.10925,0.05078,0.01147,0.09614,0.12992,0.37387
docker#network#out#bytes-6982fa8345bdd6ac,0.03694,0.22162,0.14128,0.05623,0.02225,0.11303,0.13954,0.26911
docker#network#out#bytes-no_subject,0.07515,0.18821,0.15186,0.06946,0.02,0.13186,0.15957,0.20389
docker#network#out#packets-6982fa8345bdd6ac,0.01769,0.15766,0,0.03832,0.01099,0.05809,0.10412,0.61313
docker#network#out#packets-no_subject,0.03565,0.15162,0.10338,0.05339,0.01037,0.09888,0.10934,0.43737
