index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-440c90caa1c5b096,0.00117,0.30003,0.25002,0.07059,0.00454,0.07059,0.27275,0.03031
docker#network#in#bytes-no_subject,0.01002,0.10751,0.05524,0.05304,0.00747,0.04462,0.08132,0.64077
docker#network#in#packets-440c90caa1c5b096,0.00094,0.07115,0.81824,0.0133,0.00123,0.0133,0.08182,0
docker#network#in#packets-749cdda3b3e390ad,0,0.05365,0.56334,0.04899,0.00437,0.04173,0.06259,0.22534
docker#network#in#packets-no_subject,0.00847,0.09517,0.19034,0.03502,0.0089,0.04608,0.06876,0.54724
docker#network#out#bytes-440c90caa1c5b096,0,0.22496,0.24162,0.06524,0.00496,0.06657,0.22496,0.17168
docker#network#out#bytes-no_subject,0.00907,0.12282,0.0591,0.04036,0.00714,0.04513,0.07434,0.64204
docker#network#out#packets-no_subject,0.0093,0.10348,0.12771,0.03562,0.00915,0.05063,0.07345,0.59067
