Company,Aggregation 15mn,Aggregation 30mn,Aggregation 1h,Aggregation 2h
PARTOUCHE,"Threshold = 0
Number of anomalies = 524
Number of points = 1696","Threshold = 0.01
Number of anomalies = 43
Number of points = 848","Threshold = 0.01
Number of anomalies = 24
Number of points = 424","Threshold = 0.28
Number of anomalies = 2
Number of points = 212"
APF,"Threshold = 0
Number of anomalies = 359
Number of points = 1602","Threshold = 0
Number of anomalies = 225
Number of points = 801","Threshold = 0.0
Number of anomalies = 131
Number of points = 400","Threshold = 0
Number of anomalies = 76
Number of points = 200"
CTS,"Threshold = 0
Number of anomalies = 353
Number of points = 2396","Threshold = 0 
Number of anomalies = 250
Number of points = 1185","Threshold = 0
Number of anomalies = 164
Number of points = 593","Threshold = 0
Number of anomalies = 101
Number of points = 297"
