Company,Aggregation 15mn,Aggregation 30mn,Aggregation 1h,Aggregation 2h
PARTOUCHE,"Threshold = 0.37
Number of anomalies = 34
Number of points = 1696","Threshold = 0.25
Number of anomalies = 24
Number of points = 848","Threshold = 0.25
Number of anomalies = 18
Number of points = 424","Threshold = 0
Number of anomalies = 95
Number of points = 212"
APF,"Threshold = 0.12
Number of anomalies = 405
Number of points = 1602","Threshold = 0.12
Number of anomalies = 308
Number of points = 801","Threshold = 0.12
Number of anomalies = 146
Number of points = 400","Threshold = 0.12
Number of anomalies = 97
Number of points = 200"
CTS,"Threshold = 0 
Number of anomalies = 432
Number of points = 2396","Threshold = 0 
Number of anomalies = 323
Number of points = 1185","Threshold = 0
Number of anomalies = 198
Number of points = 593","Threshold = 0
Number of anomalies = 132
Number of points = 297"
