Name,Before,After,Diff,Ratio
"accuracy

",0.986839,0.998222,0.011383,1.153480962953
f1 score,0.165656,0.19547,0.029814,17.997537064761
precision,0.143648,0.207797,0.064149,44.657078413901
recall,0.358696,0.228261,-0.130435,-36.363661707964
,0,0,0,-100
"weighted accuracy
",0.986264,0.997662,0.011398,1.155674342772
"weighted f1 score
",0.179893,0.209351,0.029458,16.375289755577
"weighted precision
",0.156836,0.220844,0.064008,40.812058455967
weighted recall,0.4,0.244444,-0.155556,-38.889
