Name,Before,After,Diff,Ratio
"accuracy

",0.986839,0.998555,0.011716,1.187225069135
f1 score,0.165656,0.26031,0.094654,57.138890230357
precision,0.143648,0.272854,0.129206,89.946257518378
recall,0.358696,0.336957,-0.021739,-6.060563820059
,0,0,0,-100
"weighted accuracy
",0.986264,0.998644,0.01238,1.255242004169
"weighted f1 score
",0.179893,0.304781,0.124888,69.423490630542
"weighted precision
",0.156836,0.334432,0.177596,113.236756867046
weighted recall,0.4,0.355556,-0.044444,-11.111
