Name,Before,After,Diff,Ratio
"accuracy

",0.986839,0.998144,0.011305,1.145576938082
f1 score,0.165656,0.230167,0.064511,38.942748828898
precision,0.143648,0.232246,0.088598,61.677155268434
recall,0.358696,0.300725,-0.057971,-16.161596449361
,0,0,0,-100
"weighted accuracy
",0.986264,0.997949,0.011685,1.184774056439
"weighted f1 score
",0.179893,0.253059,0.073166,40.67195499547
"weighted precision
",0.156836,0.25,0.093164,59.402178071361
weighted recall,0.4,0.333333,-0.066667,-16.66675
