index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#pct-no_subject,0.01464,0.92969,0,0.03194,0.00527,0.01847,0,0
system#process#cpu#total#value-no_subject,0.01601,0.78109,0.13109,0.02317,0.0067,0.04194,0,0
system#process#cpu#total#norm#pct-no_subject,0.01477,0.92941,0,0.03181,0.00546,0.01855,0,0
