index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#cpu#kernel#pct-no_subject,0,0.82562,0,0.02813,0.14625,0,0,0
docker#cpu#system#pct-no_subject,0.09643,0.0028,0,0.23454,0.20782,0.11093,0.34747,0
docker#cpu#total#pct-no_subject,0.026,0.40407,0,0.01927,0.02731,0.08819,0.31428,0.12088
docker#cpu#user#pct-no_subject,0.00844,0.42563,0,0.02061,0.01388,0.08717,0.38178,0.06249
