index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#pct-no_subject,0.00525,0.25588,0,0.01138,0.00202,0.00778,0.18887,0.52882
system#process#cpu#total#norm#pct-no_subject,0.00526,0.26126,0,0.00764,0.00201,0.00778,0.19353,0.52253
system#process#cpu#total#value-no_subject,0.00401,0.24053,0.00835,0.00871,0.00154,0.00447,0.23128,0.50111
