index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#value-no_subject,0.00783,0.59356,0.09264,0.0623,0.00933,0.06385,0.17049,0
system#process#cpu#total#pct-no_subject,0.00271,0.19766,0,0.0196,0.02234,0,0.7577,0
system#process#cpu#total#norm#pct-no_subject,0.00275,0.19403,0,0.01987,0.02338,0,0.75997,0
