index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#cpu#system#pct-no_subject,0.02961,0.0021,0,0.3263,0.28664,0,0.35535,0
docker#cpu#total#pct-no_subject,0.00641,0.42504,0,0.03821,0.04508,0.03898,0.44629,0
docker#cpu#user#pct-no_subject,0,0.9614,0,0.0386,0,0,0,0
