index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#norm#pct-no_subject,0.00194,0.1076,0,0.0046,0.00179,0,0.26002,0.62406
system#process#cpu#total#value-no_subject,1,0,0,0,0,0,0,0
