index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#norm#pct-no_subject,0,0.91223,0,0.04516,0.04261,0,0,0
system#process#cpu#total#pct-no_subject,0,0.87073,0,0.08742,0.04185,0,0,0
