index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#pct-no_subject,0.00473,0,0,0,0,0,0.99527,0
system#process#cpu#total#value-no_subject,0.0082,0,0,0,0.00808,0,0.98372,0
system#process#cpu#total#norm#pct-no_subject,0.0047,0,0,0,0,0,0.9953,0
