index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#pct-no_subject,0.00557,0.10285,0,0.01056,0.00682,0,0.8742,0
system#process#cpu#total#norm#pct-no_subject,0.00559,0.10282,0,0.01069,0.00695,0,0.87395,0
system#process#cpu#total#value-no_subject,0.01328,0.70904,0.13828,0.05191,0.03214,0.05536,0,0
