index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#cpu#total#value-no_subject,0.00386,0.46731,0.26857,0.04546,0.03578,0.06101,0.11801,0
system#process#cpu#total#pct-no_subject,0.00696,0.94078,0,0.05227,0,0,0,0
system#process#cpu#total#norm#pct-no_subject,0.0073,0.93793,0,0.05477,0,0,0,0
