index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#cpu#kernel#pct-no_subject,0.01169,0.77752,0,0.00674,0.0011,0.00749,0.16315,0.03231
docker#cpu#system#pct-no_subject,0.05048,0.82791,0,0,0.00162,0,0.11999,0
docker#cpu#total#pct-no_subject,0.01124,0.78991,0,0.00881,0.00135,0.00811,0.16493,0.01565
docker#cpu#user#pct-no_subject,0.01192,0.767,0,0.00834,0.00138,0.00791,0.17673,0.02672
