index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#cpu#kernel#pct-no_subject,0,0.89251,0,0.10104,0.00646,0,0,0
docker#cpu#system#pct-no_subject,0,0.4547,0,0.13201,0.13201,0.19034,0.09094,0
docker#cpu#total#pct-no_subject,0,0.80933,0,0.05781,0.00337,0.12949,0,0
docker#cpu#user#pct-no_subject,0,0.65545,0,0.09998,0.006,0.11567,0.1229,0
