index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#cpu#system#pct-no_subject,0,0.01132,0,0.05796,0.05769,0.02725,0.07777,0.76801
docker#cpu#user#pct-no_subject,0.06566,0.75513,0,0.01264,0.01554,0.15103,0,0
