detectionITComponentId,startDate,Comment,start,end,detectionAnomalyType,infrastructure
argo-events-depl-stashed-backup,"August 29, 2022 11:08 AM (GMT)",Kafka reconnection warnings,1661771280000,1661771280000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 12, 2022 6:05 PM (GMT)",,1660327510000,1660327690000,kubernetes#pod#memory#page_faults-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 14, 2022 2:10 AM (GMT)",,1660443010000,1660443010000,kubernetes#pod#memory#page_faults-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 24, 2022 8:37 PM (GMT)",,1661373440000,1661374760000,kubernetes#pod#network#tx#bytes-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 30, 2022 12:28 PM (GMT)",,1661862510000,1661862510000,kubernetes#pod#memory#page_faults-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 25, 2022 1:38 AM (GMT)",,1661391510000,1661392410000,kubernetes#pod#cpu#usage#limit#pct-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 20, 2022 9:50 AM (GMT)",,1660989010000,1661318880000,kubernetes#container#rootfs#used#bytes-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 25, 2022 11:22 AM (GMT)",,1661426550000,1661426550000,kubernetes#pod#cpu#usage#limit#pct-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-0-20220616133411,"August 21, 2022 12:32 PM (GMT)",,1661085140000,1661318880000,kubernetes#container#rootfs#used#bytes-no_subject,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-1-20210304132357,"August 24, 2022 10:04 AM (GMT)",No data,1661335440000,1661335440000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-1-20210304132357,"August 21, 2022 1:09 PM (GMT)",No data,1661087340000,1661087340000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-1-20210304132357,"August 15, 2022 6:13 PM (GMT)",kafka.client - [WARNING]: Node 3 connection failed -- refreshing metadata,1660587180000,1660587180000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-3-20210312150815,"August 4, 2022 6:19 PM (GMT)",kafka.client - [WARNING]: Node 1 connection failed -- refreshing metadata,1659637140000,1659637140000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-3-20210312150815,"August 11, 2022 8:06 AM (GMT)",Kafka client Node * connection failed -- refreshing metadata,1660205160000,1660205160000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-sts-lad-worker-3-20210312150815,"August 4, 2022 10:14 AM (GMT)",kafka.client - [WARNING]: Node 3 connection failed -- refreshing metadata,1659608040000,1659608040000,warning log frequency,62a9ed185b54ce0013c37d66
