Date,Anadot Anomaly
06/22/2021 01:09:40 AM,TRUE
06/20/2021 01:09:40 AM,TRUE
06/20/2021 01:23:40 AM,TRUE
06/23/2021 05:29:40 AM,TRUE
06/24/2021 11:59:40 PM,TRUE
06/20/2021 04:44:40 PM,TRUE
06/21/2021 12:59:40 AM,TRUE
06/27/2021 06:59:40 PM,TRUE
06/21/2021 07:59:40 PM,TRUE
06/21/2021 10:59:40 PM,TRUE
06/21/2021 10:44:40 PM,TRUE
06/26/2021 11:14:40 PM,TRUE
06/25/2021 05:29:40 AM,TRUE
06/22/2021 04:44:40 AM,TRUE
06/27/2021 10:29:40 AM,TRUE
06/27/2021 02:59:40 AM,TRUE
06/23/2021 04:59:40 AM,TRUE
06/27/2021 05:59:40 AM,TRUE
06/21/2021 05:59:40 AM,TRUE
06/21/2021 06:29:40 PM,TRUE
06/24/2021 03:14:40 AM,TRUE
06/28/2021 04:59:40 AM,TRUE
06/25/2021 08:59:40 PM,TRUE
06/22/2021 03:59:40 AM,TRUE
06/26/2021 04:29:40 AM,TRUE
06/26/2021 02:14:40 PM,TRUE
06/21/2021 02:29:40 AM,TRUE
06/27/2021 03:29:40 PM,TRUE
06/24/2021 04:59:40 AM,TRUE
06/21/2021 03:59:40 AM,TRUE
06/22/2021 02:59:40 AM,TRUE
06/27/2021 11:44:40 PM,TRUE
06/23/2021 07:59:40 PM,TRUE
06/25/2021 10:29:40 AM,TRUE
06/20/2021 06:59:40 PM,TRUE
06/26/2021 03:29:40 PM,TRUE
06/20/2021 02:59:40 PM,TRUE
06/24/2021 06:29:40 PM,TRUE
06/27/2021 05:29:40 AM,TRUE
06/22/2021 07:29:40 PM,TRUE
06/28/2021 04:29:40 AM,TRUE
06/24/2021 02:59:40 AM,TRUE
06/25/2021 04:44:40 AM,TRUE
06/24/2021 02:14:40 AM,TRUE
06/27/2021 10:44:40 PM,TRUE
06/26/2021 05:14:40 PM,TRUE
06/27/2021 01:59:40 PM,TRUE
06/19/2021 06:59:40 PM,TRUE
06/22/2021 02:59:40 PM,TRUE
06/19/2021 10:44:40 PM,TRUE
06/21/2021 02:59:40 PM,TRUE
06/25/2021 12:59:40 AM,TRUE
06/21/2021 04:44:40 AM,TRUE
06/25/2021 12:29:40 AM,TRUE
06/25/2021 07:29:40 PM,TRUE
06/24/2021 11:14:40 PM,TRUE
06/23/2021 10:44:40 AM,TRUE
06/24/2021 07:44:40 PM,TRUE
06/23/2021 05:14:40 PM,TRUE
06/20/2021 07:29:40 PM,TRUE
06/23/2021 08:29:40 AM,TRUE
06/28/2021 12:29:40 AM,TRUE
06/21/2021 11:14:40 PM,TRUE
06/21/2021 05:14:40 PM,TRUE
06/23/2021 05:59:40 AM,TRUE
06/24/2021 02:14:40 PM,TRUE
06/26/2021 08:14:40 AM,TRUE
06/28/2021 03:14:40 AM,TRUE
06/27/2021 11:14:40 PM,TRUE
06/24/2021 04:44:40 PM,TRUE
06/22/2021 04:44:40 PM,TRUE
06/22/2021 07:44:40 PM,TRUE
06/25/2021 02:29:40 AM,TRUE
06/20/2021 10:59:40 PM,TRUE
06/27/2021 10:59:40 PM,TRUE
06/23/2021 11:59:40 PM,TRUE
06/22/2021 11:44:40 PM,TRUE
06/24/2021 12:29:40 PM,TRUE
06/25/2021 11:59:40 PM,TRUE
06/27/2021 12:44:40 AM,TRUE
06/20/2021 06:29:40 PM,TRUE
06/28/2021 03:59:40 AM,TRUE
06/26/2021 12:59:40 AM,TRUE
06/20/2021 01:29:40 PM,TRUE
06/24/2021 12:44:40 AM,TRUE
06/22/2021 12:29:40 PM,TRUE
06/20/2021 08:59:40 PM,TRUE
06/25/2021 04:29:40 AM,TRUE
06/24/2021 08:59:40 PM,TRUE
06/22/2021 01:59:40 PM,TRUE
06/23/2021 06:44:40 AM,TRUE
06/22/2021 08:59:40 PM,TRUE
06/28/2021 02:14:40 AM,TRUE
06/28/2021 02:29:40 AM,TRUE
06/23/2021 11:44:40 PM,TRUE
06/24/2021 07:29:40 PM,TRUE
06/20/2021 05:29:40 AM,TRUE
06/24/2021 04:29:40 AM,TRUE
06/21/2021 03:29:40 PM,TRUE
06/25/2021 02:44:40 AM,TRUE
06/25/2021 06:14:40 PM,TRUE
06/24/2021 08:29:40 AM,TRUE
06/27/2021 12:29:40 PM,TRUE
06/23/2021 07:28:40 AM,TRUE
06/26/2021 08:29:40 PM,TRUE
06/22/2021 02:44:40 AM,TRUE
06/22/2021 08:29:40 AM,TRUE
06/20/2021 02:29:40 AM,TRUE
06/22/2021 06:59:40 AM,TRUE
06/22/2021 12:14:40 AM,TRUE
06/22/2021 01:29:40 PM,TRUE
06/27/2021 03:44:40 PM,TRUE
06/25/2021 08:29:40 PM,TRUE
06/24/2021 10:44:40 AM,TRUE
06/19/2021 06:29:40 PM,TRUE
06/26/2021 12:14:40 AM,TRUE
06/27/2021 02:59:40 PM,TRUE
06/25/2021 06:44:40 PM,TRUE
06/24/2021 02:44:40 AM,TRUE
06/24/2021 03:14:40 PM,TRUE
