,date,significance_score,duration,absolute_delta,relative_delta
0,06/27/2021 01:10:40,68,16,84870.82,987.75
1,06/25/2021 01:10:40,68,16,84302.89,988.21
2,06/24/2021 01:10:40,68,16,84147.04,987.36
3,06/28/2021 01:10:40,68,16,84864.29,982.03
4,06/26/2021 01:10:40,68,16,84528.13,981.97
5,06/25/2021 01:03:40,68,4,74509.27,873.29
6,06/24/2021 01:03:40,68,4,74457.98,873.58
7,06/28/2021 01:03:40,68,4,74572.91,862.96
8,06/27/2021 01:03:40,68,4,74524.27,867.30
9,06/26/2021 01:03:40,68,4,74482.41,865.20
10,06/29/2021 01:10:40,68,3,84593.08,953.30
11,06/29/2021 01:03:40,67,4,74415.58,838.55
12,06/21/2021 01:10:40,67,2,82773.86,898.78
13,06/23/2021 01:10:40,67,16,83454.69,923.68
14,06/30/2021 01:10:40,66,3,83781.35,911.63
15,06/23/2021 01:03:40,66,4,73770.55,816.36
16,06/30/2021 01:03:40,66,4,74312.25,808.56
17,06/21/2021 01:03:40,66,4,73449.35,797.46
18,06/22/2021 01:03:40,65,9,73304.17,779.99
19,06/20/2021 01:03:40,62,9,72199.26,698.07
20,06/19/2021 01:03:40,60,9,71386.17,641.69
21,06/29/2021 01:16:40,54,10,43327.62,488.30
22,06/30/2021 01:16:40,53,10,43079.98,468.78
23,06/20/2021 01:15:40,46,11,41121.72,397.64
24,06/21/2021 01:15:40,44,11,42211.54,458.37
25,06/22/2021 01:15:40,44,11,42176.27,448.88
26,06/19/2021 01:15:40,39,11,40182.09,361.22
27,06/26/2021 22:29:40,14,1,9895.32,114.87
28,06/24/2021 22:29:40,14,1,9965.74,114.39
