,date,significance_score,duration,absolute_delta,relative_delta
0,06/27/2021 01:10:40,67,16,91296.60,4213.98
1,06/26/2021 01:10:40,67,16,91136.24,4556.93
2,06/29/2021 01:10:40,67,3,90309.58,2860.47
3,06/23/2021 01:10:40,67,8,90375.81,4275.27
4,06/24/2021 01:10:40,67,3,88314.04,2027.70
5,07/01/2021 01:03:40,65,4,81124.95,3521.42
6,06/30/2021 01:03:40,65,4,80680.18,2858.17
7,06/26/2021 01:03:40,65,4,81081.03,4033.69
8,06/27/2021 01:03:40,65,4,80941.62,3720.98
9,06/29/2021 01:03:40,65,4,80121.08,2528.44
10,06/28/2021 01:03:40,65,4,80108.90,2579.59
11,06/25/2021 01:03:40,65,4,80546.61,3228.77
12,06/24/2021 01:03:40,65,4,80348.45,3051.78
13,06/23/2021 01:03:40,65,4,80678.84,3790.80
14,06/22/2021 01:03:40,65,23,80146.68,3136.22
15,06/20/2021 01:03:40,65,4,80364.68,3691.08
16,06/21/2021 01:03:40,65,4,79813.20,2803.85
17,06/19/2021 01:03:40,65,4,80129.99,3365.49
18,06/19/2021 01:09:40,64,17,76047.23,3203.85
19,07/01/2021 01:10:40,62,3,87959.89,1667.95
20,06/29/2021 01:16:40,60,2,49052.97,1558.33
21,06/20/2021 01:09:40,58,3,73578.86,1524.09
22,06/23/2021 01:19:40,50,7,45912.32,1616.23
23,06/29/2021 01:19:40,46,7,45082.00,1349.76
24,06/20/2021 01:15:40,40,11,44839.63,676.97
25,06/24/2021 01:14:40,38,4,45865.24,761.48
26,06/24/2021 01:24:40,34,2,40940.16,502.06
27,07/01/2021 01:16:40,29,2,42663.36,437.25
28,06/24/2021 22:29:40,29,1,16244.90,667.70
29,06/30/2021 22:29:40,29,1,17196.23,645.20
30,06/19/2021 22:29:40,29,1,15939.18,672.95
31,06/26/2021 22:29:40,28,1,15905.29,610.72
32,06/18/2021 22:29:40,27,1,15648.82,590.36
33,06/25/2021 22:29:40,24,1,12640.81,526.23
34,06/25/2021 01:10:40,23,1,69904.13,304.86
35,06/30/2021 01:10:40,22,1,69516.29,296.38
36,06/21/2021 01:10:40,22,1,68806.50,296.87
37,06/28/2021 01:10:40,22,1,69849.83,295.27
38,06/20/2021 22:29:40,22,1,12373.24,449.03
39,06/27/2021 22:29:40,21,1,11961.52,416.31
40,06/22/2021 22:29:40,18,1,11555.47,343.16
41,06/24/2021 23:59:40,15,1,6633.78,333.46
42,06/23/2021 05:29:40,13,1,5446.53,322.77
43,06/26/2021 06:59:40,12,1,5411.50,254.00
44,06/24/2021 01:19:40,12,4,9735.82,124.41
45,06/27/2021 03:29:40,12,1,4792.68,267.52
46,06/27/2021 05:59:40,11,1,4794.71,255.40
47,06/27/2021 07:14:40,11,1,4830.82,243.98
48,06/27/2021 02:59:40,11,1,4549.60,251.72
49,06/26/2021 05:14:40,11,1,4517.74,238.37
50,06/26/2021 04:29:40,10,1,4509.56,231.49
51,06/26/2021 06:44:40,10,1,4243.02,225.29
