,_id,topic,levels,Deployed models
20,{'$oid': '61e152263a0e31036bddb048'},60ddc7da72033d00111f4be1-docker-log-pythonexternal-is-rabbit-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
21,{'$oid': '61e152263a0e31036bddb049'},60ddc7da72033d00111f4be1-docker-log-pythondonation-rabbit-develop-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
22,{'$oid': '61e152263a0e31036bddb04a'},60ddc7da72033d00111f4be1-docker-log-pythonsdet-service-develop-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
23,{'$oid': '61e152263a0e31036bddb04b'},60ddc7da72033d00111f4be1-docker-log-donation-celery-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
24,{'$oid': '61e152263a0e31036bddb04c'},60ddc7da72033d00111f4be1-docker-log-pythonhelpdesk-service-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
25,{'$oid': '61e152263a0e31036bddb04d'},60ddc7da72033d00111f4be1-docker-log-pythonpipedrive-service-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
26,{'$oid': '61e152263a0e31036bddb04e'},60ddc7da72033d00111f4be1-docker-log-pythonstock-service-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
27,{'$oid': '61e152263a0e31036bddb04f'},60ddc7da72033d00111f4be1-docker-log-donation-cron-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
28,{'$oid': '61e152263a0e31036bddb050'},60ddc7da72033d00111f4be1-docker-log-dead-letter-cron-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
29,{'$oid': '61e152263a0e31036bddb051'},60ddc7da72033d00111f4be1-docker-log-pythonpipedrive-rabbit-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
30,{'$oid': '61e152263a0e31036bddb052'},60ddc7da72033d00111f4be1-docker-log-pythonpipedrive-rabbit-develop-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
31,{'$oid': '61e152263a0e31036bddb053'},60ddc7da72033d00111f4be1-docker-log-zero-gachis-service-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
32,{'$oid': '61e152263a0e31036bddb054'},60ddc7da72033d00111f4be1-docker-log-sdet-celery-develop-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
33,{'$oid': '61e152263a0e31036bddb055'},60ddc7da72033d00111f4be1-docker-log-zero-gachis-api-develop-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'error', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}]","general: ['HB', 'Skyline'] warning: ['HB', 'Skyline'] error: ['HB', 'Skyline']"
34,{'$oid': '61e152263a0e31036bddb056'},60ddc7da72033d00111f4be1-docker-log-zero-gachis-api-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
35,{'$oid': '61e152263a0e31036bddb057'},60ddc7da72033d00111f4be1-docker-log-sdet-cron-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
36,{'$oid': '61e152263a0e31036bddb058'},60ddc7da72033d00111f4be1-docker-log-external-is-celery-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
37,{'$oid': '61e152263a0e31036bddb059'},60ddc7da72033d00111f4be1-docker-log-nginxzero-gachis-service-develop-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
38,{'$oid': '61e152263a0e31036bddb05a'},60ddc7da72033d00111f4be1-docker-log-zero-gachis-celery-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
39,{'$oid': '61e152263a0e31036bddb05b'},60ddc7da72033d00111f4be1-docker-log-nginxapi-gateway-service-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
40,{'$oid': '61e152263a0e31036bddb05c'},60ddc7da72033d00111f4be1-docker-log-pythonexternal-is-rabbit-develop-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
41,{'$oid': '61e152263a0e31036bddb05d'},60ddc7da72033d00111f4be1-docker-log-traefiktraefik-develop-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
42,{'$oid': '61e152263a0e31036bddb05e'},60ddc7da72033d00111f4be1-docker-log-pythonhelpdesk-rabbit-develop-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB', 'Skyline']"
43,{'$oid': '61e152263a0e31036bddb05f'},60da0bef0c08d30029de2a47-linux60dd7df472033d00111f4bca-log-linux60dd7df472033d00111f4bca-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
44,{'$oid': '61e152263a0e31036bddb060'},60ddc7da72033d00111f4be1-docker-log-pythondonation-rabbit-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
45,{'$oid': '61e152263a0e31036bddb061'},60ddc7da72033d00111f4be1-docker-log-pythondead-letter-rabbit-develop-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
46,{'$oid': '61e152263a0e31036bddb062'},60ddc7da72033d00111f4be1-docker-log-dotnet-template-service-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
47,{'$oid': '61e152263a0e31036bddb063'},60ddc7da72033d00111f4be1-docker-log-nodeheadless-browser-service-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
