,_id,topic,levels,Deployed models
10,{'$oid': '61e152263a0e31036bddb03e'},60ddc7da72033d00111f4be1-docker-log-pythonhelpdesk-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
11,{'$oid': '61e152263a0e31036bddb03f'},60ddc7da72033d00111f4be1-docker-log-dead-letter-celery-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
12,{'$oid': '61e152263a0e31036bddb040'},60ddc7da72033d00111f4be1-docker-log-packetaipacket-ai-agent-service-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
13,{'$oid': '61e152263a0e31036bddb041'},60ddc7da72033d00111f4be1-docker-log-pythonstock-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
14,{'$oid': '61e152263a0e31036bddb042'},60ddc7da72033d00111f4be1-docker-log-pythondonation-service-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
15,{'$oid': '61e152263a0e31036bddb043'},60ddc7da72033d00111f4be1-docker-log-zero-gachis-cron-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
16,{'$oid': '61e152263a0e31036bddb044'},60ddc7da72033d00111f4be1-docker-log-pythonhelpdesk-rabbit-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB', 'Skyline']"
17,{'$oid': '61e152263a0e31036bddb045'},60ddc7da72033d00111f4be1-docker-log-javakeycloak-service-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
18,{'$oid': '61e152263a0e31036bddb046'},60ddc7da72033d00111f4be1-docker-log-packetaipacket-ai-agent-service-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
19,{'$oid': '61e152263a0e31036bddb047'},60ddc7da72033d00111f4be1-docker-log-donation-cron-develop-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
