index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#memory#rss#pct-no_subject,0,0.89574,0,0.08613,0.01813,0,0,0
docker#memory#usage#pct-no_subject,0,0.89429,0,0.08768,0.01803,0,0,0
