index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#memory#rss#pct-no_subject,0,0.10124,0,0.13016,0.04796,0.08283,0.18223,0.45558
docker#memory#usage#pct-no_subject,0,0.31654,0,0.02858,0.02858,0.07348,0.03846,0.51437
