index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
system#process#memory#rss#bytes-no_subject,0.0014,0.23493,0.00392,0.0029,0.00234,0.00152,0.36144,0.39156
system#process#memory#rss#pct-no_subject,0.00133,0.11639,0,0.00236,0.00453,0.00247,0.29097,0.58195
system#process#memory#share-no_subject,0.19719,0,0.30735,0.2259,0.04365,0.2259,0,0
system#process#memory#size-no_subject,0.09463,0.00145,0.23488,0.21308,0.06743,0.20823,0.11441,0.06589
