index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#memory#rss#pct-no_subject,0,0.4995,0,0.06874,0.00275,0.18731,0.2417,0
docker#memory#usage#pct-no_subject,0,0.48241,0,0.07282,0.00283,0.19296,0.24898,0
